"key","group","title","description","active","has_outrights"
"americanfootball_cfl","American Football","CFL","Canadian Football League",true,false
"americanfootball_ncaaf","American Football","NCAAF","US College Football",true,false
"americanfootball_ncaaf_championship_winner","American Football","NCAAF Championship Winner","US College Football Championship Winner",true,true
"americanfootball_nfl","American Football","NFL","US Football",true,false
"americanfootball_nfl_super_bowl_winner","American Football","NFL Super Bowl Winner","Super Bowl Winner 2024/2025",true,true
"americanfootball_ufl","American Football","UFL","United Football League",true,false
"aussierules_afl","Aussie Rules","AFL","Aussie Football",true,false
"baseball_kbo","Baseball","KBO","KBO League",true,false
"baseball_milb","Baseball","MiLB","Minor League Baseball",true,false
"baseball_mlb","Baseball","MLB","Major League Baseball",true,false
"baseball_mlb_world_series_winner","Baseball","MLB World Series Winner","World Series Winner 2024",true,true
"baseball_ncaa","Baseball","NCAA Baseball","US College Baseball",true,false
"baseball_npb","Baseball","NPB","Nippon Professional Baseball",true,false
"basketball_nba","Basketball","NBA","US Basketball",true,false
"basketball_nba_championship_winner","Basketball","NBA Championship Winner","Championship Winner 2023/2024",true,true
"basketball_wnba","Basketball","WNBA","US Basketball",true,false
"boxing_boxing","Boxing","Boxing","Boxing Bouts",true,false
"cricket_t20_blast","Cricket","T20 Blast","T20 Blast",true,false
"golf_masters_tournament_winner","Golf","Masters Tournament Winner","2024 Winner",true,true
"golf_pga_championship_winner","Golf","PGA Championship Winner","2024 Winner",true,true
"golf_the_open_championship_winner","Golf","The Open Winner","2024 Winner",true,true
"golf_us_open_winner","Golf","US Open Winner","2024 Winner",true,true
"icehockey_nhl","Ice Hockey","NHL","US Ice Hockey",true,false
"icehockey_nhl_championship_winner","Ice Hockey","NHL Championship Winner","Stanley Cup Winner 2023/2024",true,true
"lacrosse_pll","Lacrosse","PLL","Premier Lacrosse League",true,false
"mma_mixed_martial_arts","Mixed Martial Arts","MMA","Mixed Martial Arts",true,false
"politics_us_presidential_election_winner","Politics","US Presidential Elections Winner","2024 US Presidential Election Winner",true,true
"rugbyleague_nrl","Rugby League","NRL","Aussie Rugby League",true,false
"soccer_argentina_primera_division","Soccer","Primera División - Argentina","Argentine Primera División",true,false
"soccer_belgium_first_div","Soccer","Belgium First Div","Belgian First Division A",true,false
"soccer_brazil_campeonato","Soccer","Brazil Série A","Brasileirão Série A",true,false
"soccer_brazil_serie_b","Soccer","Brazil Série B","Campeonato Brasileiro Série B",true,false
"soccer_chile_campeonato","Soccer","Primera División - Chile","Campeonato Chileno",true,false
"soccer_conmebol_copa_america","Soccer","Copa América","CONMEBOL Copa América",true,false
"soccer_conmebol_copa_libertadores","Soccer","Copa Libertadores","CONMEBOL Copa Libertadores",true,false
"soccer_denmark_superliga","Soccer","Denmark Superliga","Danish Soccer",true,false
"soccer_fifa_world_cup_winner","Soccer","FIFA World Cup Winner","FIFA World Cup Winner 2026",true,true
"soccer_finland_veikkausliiga","Soccer","Veikkausliiga - Finland","Finnish  Soccer",true,false
"soccer_italy_serie_a","Soccer","Serie A - Italy","Italian Soccer",true,false
"soccer_japan_j_league","Soccer","J League","Japan Soccer League",true,false
"soccer_korea_kleague1","Soccer","K League 1","Korean Soccer",true,false
"soccer_league_of_ireland","Soccer","League of Ireland","Airtricity League Premier Division",true,false
"soccer_netherlands_eredivisie","Soccer","Dutch Eredivisie","Dutch Soccer",true,false
"soccer_norway_eliteserien","Soccer","Eliteserien - Norway","Norwegian Soccer",true,false
"soccer_spain_segunda_division","Soccer","La Liga 2 - Spain","Spanish Soccer",true,false
"soccer_sweden_allsvenskan","Soccer","Allsvenskan - Sweden","Swedish Soccer",true,false
"soccer_sweden_superettan","Soccer","Superettan - Sweden","Swedish Soccer",true,false
"soccer_switzerland_superleague","Soccer","Swiss Superleague","Swiss Soccer",true,false
"soccer_uefa_champs_league","Soccer","UEFA Champions League","European Champions League",true,false
"soccer_uefa_champs_league_qualification","Soccer","UEFA Champions League Qualification","European Champions League Qualification",true,false
"soccer_uefa_european_championship","Soccer","UEFA Euro 2024","UEFA European Championship",true,false
"soccer_usa_mls","Soccer","MLS","Major League Soccer",true,false
"tennis_atp_french_open","Tennis","ATP French Open","Men's Singles",true,false
"tennis_wta_french_open","Tennis","WTA French Open","Women's Singles",true,false